Source,Target,Weight,
15693680,529502,0.703048,
15728293,15062869,0.703048,
15728293,31873557,0.731059,
15728293,34876145,0.703048,
15778059,11403699,0.703048,
15778059,11939484,0.731059,
15778059,1362490,0.703048,
15778981,24650339,0.731059,
15778981,997338,0.703048,
1577990,8514,0.880797,
15800559,9517720,0.731059,
15830664,1446467,0.793892,
15830664,15778981,0.703048,
15830664,9787757,0.703117,
15836199,14993021,0.865529,
15836199,33744138,0.880797,
15836812,3757512,0.731059,
15846674,11061773,0.982014,
15870488,6093316,0.703048,
15884459,13221727,0.731059,
15884459,33653617,0.793892,
15884459,417389,0.703048,
15884459,9787757,0.675038,
15901046,25252102,0.731059,
15901046,26063680,0.703048,
15901046,34876145,0.703048,
15901046,507775,0.703048,
15901046,9750588,0.731059,
15901046,9787757,0.730572,
15907354,9257808,0.731059,
15921481,2540368,0.731059,
15974409,2508083,0.952574,
16008423,23096959,0.703048,
16008423,3149845,0.703048,
16008423,6235174,0.731059,
16008423,9787757,0.698848,
1607357,1267320,0.703048,
1607357,18402447,0.703048,
1607357,19745004,0.703048,
1607357,9787757,0.691241,
16165969,11939484,0.731059,
16174770,17592572,0.731059,
16174770,40212760,0.793892,
16176198,27441121,0.731059,
16180304,24331457,0.703048,
16180304,36371959,0.731059,
16180517,23059575,0.703048,
16180517,36371959,0.880797,
16180517,5952670,0.880797,
16185172,13124802,0.837103,
16185172,14225208,0.880797,
16185172,17620347,0.731059,
16185172,21449162,0.952574,
16185172,9787757,0.698848,
16191201,23096959,0.837103,
16203458,35786536,0.731059,
16241224,2228226,0.703048,
16241224,25126616,0.731059,
16241224,26509369,0.703048,
16243570,11980558,0.703048,
16243570,65252,0.731059,
16243570,9787757,0.706987,
16286131,1283503,0.793892,
16286131,2203645,0.952574,
16286131,2725544,0.731059,
16286131,29688210,0.703048,
16286131,29941153,0.703048,
16286131,7363211,0.837103,
16286131,8629417,0.952574,
16297763,10707658,0.731059,
16297763,18460320,0.864984,
16298112,919161,0.731059,
16328098,24560307,0.731059,
16328098,6248645,0.703048,
1632976,9384267,0.793892,
16366081,9252533,0.731059,
16384837,19939216,0.731059,
16384837,6543378,0.731059,
16384837,728994,0.837103,
16384837,9787757,0.719146,
16386099,12243435,0.703048,
16386099,34876145,0.880797,
16386099,38386462,0.703048,
16394957,16522983,0.793892,
16396294,34230966,0.880797,
16411534,18410674,0.793892,
16415622,28062827,0.731059,
16415622,4524181,0.793892,
16416867,1441734,0.880797,
16416867,7691631,0.703048,
16416867,9787757,0.698848,
16469697,1039520,0.731059,
16469697,10908696,0.880797,
16469697,9787757,0.730400,
16501535,1200050,0.703048,
16501535,34876145,0.731059,
16522983,13429048,0.793892,
16522983,28643625,0.793892,
16523688,11778024,0.731059,
16554739,33370332,0.952574,
16554739,6804779,0.703048,
16557832,16557964,0.731059,
16557832,9787757,0.721633,
16557964,16557832,0.952574,
16557964,33370332,0.703048,
16563587,11225014,0.952574,
16607898,11589713,0.703048,
16607898,37232897,0.703048,
16607898,9787757,0.703117,
16665655,14089735,0.703048,
16665655,24560307,0.793892,
16665655,26845993,0.731059,
16665655,321278,0.952574,
16665655,4128353,0.880797,
